t,ax,ay,az,wx,wy,wz,s
627.035604,-11336,-16844,-11516,1679,177,-8215,0
627.145045996,-22104,4008,-13292,-4117,3701,5230,1
627.254526138,-17768,-3232,1324,7098,-2883,7700,0
627.363897085,-13408,-1124,-1236,-1812,-6973,7230,0
627.473287106,-16512,-4204,-3696,-1114,-6052,8996,0
627.582671165,-15656,-1192,-1548,-1682,-5138,5824,0
627.692018032,-15612,-13184,-12888,2147,4863,1224,0
627.801572084,-23216,-2920,4260,-13966,16463,-18587,0
627.911116123,-22380,-2256,5152,-17588,7423,-22513,0
628.020698071,-14776,4296,3300,-8285,200,-16275,0
628.130144119,-8908,3424,-404,-4950,-2654,-9287,0
628.238688946,-12452,-17580,-17836,5609,1866,-7272,0
628.346792936,-19212,516,-20392,17919,341,12986,0
628.454957008,-18284,3520,-5196,17619,-11681,9967,1
628.563277006,-13404,-3488,-1324,7922,-8936,9490,0
628.67265296,-14712,-1636,-2192,7253,-9383,11751,0
628.782114983,-15276,-3248,-1776,601,-6961,6924,0
628.891683102,-16264,-8312,-11844,6637,1203,5076,0
629.001266003,-26296,-2656,4660,-245,19350,-11982,0
629.110793114,-18648,284,3128,-8977,9416,-17860,0
629.220179081,-12204,3640,2284,-4821,4600,-10791,0
629.329735994,-10880,20,1260,-101,943,-9587,0
629.439229965,-12972,-14972,-15224,4238,2349,-6434,0
629.54875493,-22336,3656,-12404,10816,4085,13801,1
629.658363104,-18636,2516,-1740,19897,-787,10490,0
629.767807961,-14604,-4508,-1764,6911,-8184,10376,0
629.877295017,-16820,-4424,876,5182,-8689,10510,0
629.986914158,-14492,-4332,-3516,1334,-6231,6988,0
630.096388102,-16632,-10516,-9060,7310,4531,4391,0
630.205800056,-24744,-2024,6824,3476,21432,-8313,0
630.31577301,-20180,1792,2712,-10222,8076,-16313,0
630.425368071,-12356,2264,2708,-4419,3612,-11919,0
630.534789085,-10984,2480,1660,-3632,252,-9160,0
630.644169092,-11732,-17580,-13828,2053,-545,-5177,0
630.753564119,-18708,8940,-16820,-4650,5848,9308,1
630.863098145,-15432,276,-3252,12831,-6329,11499,0
630.972466946,-13232,-1704,-1948,1277,-5410,7699,0
631.082193136,-14892,-5664,-6804,1998,-8382,7647,0
631.191755056,-15124,-2532,-4700,-2204,-5157,6738,0
631.30141902,-17864,-13320,-12368,-1911,5287,4842,0
631.411050081,-22128,-7220,7108,-15988,17476,-20481,0
631.52066803,-22280,-828,7008,-20654,6392,-19440,0
631.630295038,-16524,2664,4584,-21974,-2058,-20370,0
631.739791155,-12480,2204,1036,-11741,-4675,-15925,0
631.849350929,-9288,-7172,-6892,-3755,-3187,-9278,0
631.95885396,-20468,-1816,-7128,-13891,-6509,4737,1
632.068383932,-18784,-1600,4520,-2060,-3926,3223,0
632.17790103,-16936,-1192,-3516,631,-10074,7024,0
632.287342072,-16148,-1416,-428,2397,-4935,8763,0
632.396913052,-14832,-284,-1200,-1169,-4661,5923,0
632.506375074,-17416,248,-1512,-718,-4833,6146,0
632.615869999,-17152,-18476,-11932,1932,8274,1360,0
632.725394011,-18412,2760,7576,-10059,7235,-8889,0
632.834784031,-15392,6196,720,-7622,6504,-12182,0
632.944252014,-16532,3896,-4184,-6782,4366,-15699,0
633.053633928,-16332,1788,-3416,14076,-304,-5804,0
633.163135052,-8108,-2768,-292,12158,-3695,-1106,0
633.272482157,-13080,-13616,-6484,-1273,-5742,-875,0
633.382178068,-15812,-5488,-16196,9890,1266,9135,1
633.49169898,-14508,-4428,-1716,7280,-2278,8062,1
633.601230145,-13388,-4944,-2532,-652,-5081,10388,0
633.710822105,-15224,-1364,-1008,-7762,-7694,8423,0
633.820356131,-14612,268,-1160,-7909,-7952,5658,0
633.929938078,-15928,-6892,-8292,-1979,1800,4596,0
634.039464951,-26164,-6100,4132,-7986,14351,-10837,0
634.149394035,-19172,-316,3008,-11752,6508,-14320,0
634.25879097,-14516,1184,2840,-9001,3324,-14759,0
634.368373156,-13448,1232,-924,-6866,-625,-15702,0
634.477959156,-11164,-6824,-7784,-7388,-5627,-6691,0
634.587383032,-14576,-868,4996,-8727,-7639,-1153,1
634.696938038,-16152,10804,4128,-23329,12286,1936,0
634.806363106,-17020,-2304,224,-4839,-9224,2250,0
634.915712118,-14936,-1960,-328,-3753,-9014,5933,0
635.025166035,-15088,-4372,-1764,-386,-8794,8457,0
635.134664059,-16868,-3388,-3872,3603,-4230,6360,0
635.244140148,-24564,-8764,-9744,8606,16029,-3698,0
635.353508949,-21652,1576,3664,-4873,6771,-9773,0
635.463092089,-13672,5120,1132,-5959,6528,-13784,0
635.572438002,-10772,3320,-2532,-1813,2298,-8897,0
635.682103157,-12028,-2488,-7484,-4820,-7654,-8901,0
635.791685104,-14008,-804,-2704,-12164,-12388,-5965,1
635.901426077,-17736,9964,1704,-11595,9907,3627,0
636.011039019,-18008,-5124,1348,13,-11657,4405,0
636.120646954,-14284,-2160,1496,1807,-9965,7567,0
636.23029995,-14136,-4560,-7824,-4845,-10920,7981,0
636.339893103,-16496,-3352,-3356,1897,-1278,2744,0
636.449512005,-24336,-15828,-18392,13491,21026,2232,0
636.559149981,-23516,228,3232,-7191,8015,-8039,0
636.668570995,-17044,468,5984,-10425,7460,-16313,0
636.778022051,-14072,2120,-568,-10185,-1986,-16716,0
636.887638092,-14072,-1856,-1624,-14670,-6557,-13457,0
636.997215033,-14912,-7408,-3652,-2940,-5100,-5070,1
637.106641054,-26548,6568,-7216,-6245,6516,1868,0
637.216246128,-17776,-4424,-3848,-13670,-13727,3787,0
637.32565093,-14072,-3884,-3180,-8965,-8888,4938,0
637.435091019,-15944,-824,-3832,-6419,-9137,7453,0
637.544636011,-16564,-1208,-1560,-2145,-5470,5551,0
637.654016018,-15588,-15136,-9024,1442,8022,361,0
637.763473988,-22504,-716,5256,-10106,12133,-13038,0
637.873007059,-18844,1280,2212,-13013,8902,-20944,0
637.982404947,-14028,4272,996,-7475,1391,-14893,0
638.091943026,-10548,-1192,-484,-2473,-1037,-11980,0
638.201486111,-11060,-16036,-10600,-2293,-3273,-6379,0
638.311074972,-20844,-8796,-30784,18793,-12656,9616,0
638.420522928,-9852,2868,-748,14941,-2755,9582,1
